37,ACM Multimedia,ACMMM,CORE2014,A*,Yes,0803,1203,
147,Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2014,A*,Yes,0803,,
12,ACM Conference on Computer and Communications Security,CCS,CORE2014,A*,Yes,0803,,
1386,International Symposium on High Performance Computer Architecture,HPCA,CORE2014,A*,Yes,0803,,
1037,International Conference on Functional Programming,ICFP,CORE2014,A*,Yes,0803,,
1209,International Conference on Software Engineering,ICSE,CORE2014,A*,Yes,0803,,
32,ACM International Symposium on Computer Architecture,ISCA,CORE2014,A*,Yes,0803,,
18,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2014,A*,Yes,0803,,
1842,Usenix Symposium on Operating Systems Design and Implementation,OSDI,CORE2014,A*,Yes,0803,,
84,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,CORE2014,A*,Yes,0803,,
82,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,CORE2014,A*,Yes,0803,,
750,IEEE Symposium on Security and Privacy,S&P,CORE2014,A*,Yes,0802,0803,
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2014,A*,Yes,0803,,
48,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,CORE2014,A*,Yes,0803,,
1841,Usenix Security Symposium,USENIX-Security,CORE2014,A*,Yes,0803,,
52,ACM SIGSOFT International Symposium on the Foundations of Software Engineering,FSE,CORE2014,A,No,0803,,
79,ACM/IFIP/USENIX International Middleware Conference,Middleware,CORE2014,A,No,0803,,
117,Annual Computer Security Applications Conference,ACSAC,CORE2014,A,No,0803,,
191,Aspect-Oriented Software Development,AOSD,CORE2014,A,No,0803,,
279,Automated Software Engineering Conference,ASE,CORE2014,A,No,0803,,
488,European Conference on Object-Oriented Programming,ECOOP,CORE2014,A,No,0803,,
514,European Symposium on Programming,ESOP,CORE2014,A,No,0803,,
515,European Symposium On Research In Computer Security,ESORICS,CORE2014,A,No,0803,,
525,Eurosys Conference,EuroSys,CORE2014,A,No,0803,,
547,Foundations of Software Science and Computational Structures,FOSSACS,CORE2014,A,Yes,0803,,
597,IEEE Computational Systems Bioinformatics Conference,CSB,CORE2014,A,No,0803,,
599,IEEE Computer Security Foundations Symposium (was CSFW),CSF,CORE2014,A,No,0803,,
676,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,CORE2014,A,No,0803,,
690,IEEE International Requirements Engineering Conference,RE,CORE2014,A,No,0803,,
787,IEEE/IFIP International Conference on Dependable Systems,DSN,CORE2014,A,Yes,0803,,
790,IEEE/IFIP International Symposium on Trusted Computing and Communications,TrustCom,CORE2014,A,No,0803,,
791,IEEE/IFIP Working Conference on Software Architecture,WICSA,CORE2014,A,No,0803,,
805,"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",FORTE,CORE2014,A,No,0803,,
847,Intelligent Systems in Molecular Biology,ISMB,CORE2014,A,No,0803,,
936,International Conference on Compiler Construction,CC,CORE2014,A,No,0803,,
980,International Conference on Coordination Models and Languages,Coordination,CORE2014,A,No,0803,,
1022,International Conference on Evaluation and Assessment in Software Engineering,EASE,CORE2014,A,No,0803,,
1175,International Conference on Principles and Practice of Constraint Programming,CP,CORE2014,A,No,0803,,
1191,International Conference on Reliable Software Technologies,RST,CORE2014,A,No,0803,,
1198,International Conference on Security and Privacy for Communication Networks,SecureCom,CORE2014,A,No,0803,,
1217,International Conference of Software and Systems Process (was ICSP prior to 2011),ICSSP,CORE2014,A,No,0803,,
1220,International Conference on Software Reuse,ICSR,CORE2014,A,No,0803,,
1262,International Conference on Virtual Execution Environments,VEE,CORE2014,A,Yes,0803,,
1357,International Symposium on Automated Technology for Verification and Analysis,ATVA,CORE2014,A,No,0803,,
